"Station","Longitude","Latitude","Bonus","Day","Hour_0","Hour_1","Hour_2","Hour_3","Hour_4","Hour_5","Hour_6","Hour_7","Hour_8","Hour_9","Hour_10","Hour_11","Hour_12","Hour_13","Hour_14","Hour_15","Hour_16","Hour_17","Hour_18","Hour_19","Hour_20","Hour_21","Hour_22","Hour_23"
" EURYALE DEHAYNIN",2.37738886313363,48.8863000510864,0,2,0.0384615384615385,0.0384615384615385,0.0769230769230769,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.107142857142857,0,0,0,0,0,0,0,0.0357142857142857,0.107142857142857,0.107142857142857,0.25,0.392857142857143,0.428571428571429,0.5,0.392857142857143
" EURYALE DEHAYNIN",2.37738886313363,48.8863000510864,0,3,0.392857142857143,0.535714285714286,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.535714285714286,0.111111111111111,0,0,0.037037037037037,0.111111111111111,0.111111111111111,0.037037037037037,0,0.037037037037037,0.185185185185185,0.148148148148148,0.148148148148148,0.222222222222222,0.62962962962963,0.444444444444444
" EURYALE DEHAYNIN",2.37738886313363,48.8863000510864,0,4,0.296296296296296,0.222222222222222,0.481481481481481,0.555555555555556,0.592592592592593,0.592592592592593,0.592592592592593,0.555555555555556,0.518518518518518,0.185185185185185,0,0,0,0,0,0.0357142857142857,0.142857142857143,0,0.107142857142857,0.5,1,0.964285714285714,0.964285714285714,0.777777777777778
" EURYALE DEHAYNIN",2.37738886313363,48.8863000510864,0,5,0.333333333333333,0.285714285714286,0.464285714285714,0.571428571428571,0.5,0.5,0.5,0.464285714285714,0.5,0.0357142857142857,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.107142857142857,0.214285714285714,0.214285714285714,0.0357142857142857,0.0357142857142857,0.107142857142857,0.321428571428571,0.75,1,0.814814814814815,0.703703703703704
" EURYALE DEHAYNIN",2.37738886313363,48.8863000510864,0,6,0.444444444444444,0.555555555555556,0.592592592592593,0.518518518518518,0.62962962962963,0.592592592592593,0.666666666666667,0.592592592592593,0.703703703703704,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.142857142857143,0.178571428571429,0.0714285714285714,0,0.0357142857142857,0.107142857142857,0.428571428571429,0.892857142857143,0.821428571428571,0.928571428571429,1
" EURYALE DEHAYNIN",2.37738886313363,48.8863000510864,0,7,0.642857142857143,0.535714285714286,0.25,0.321428571428571,0.285714285714286,0.357142857142857,0.357142857142857,0.357142857142857,0.321428571428571,0.321428571428571,0.357142857142857,0.321428571428571,0.214285714285714,0.25,0.0357142857142857,0,0.0357142857142857,0.0714285714285714,0.285714285714286,0.0357142857142857,0.37037037037037,0,0.037037037037037,0.111111111111111
" EURYALE DEHAYNIN",2.37738886313363,48.8863000510864,0,8,0.0740740740740741,0.148148148148148,0.111111111111111,0.111111111111111,0.148148148148148,0.148148148148148,0.148148148148148,0.111111111111111,0.111111111111111,0.185185185185185,0.111111111111111,0.111111111111111,0.0740740740740741,0.0740740740740741,0.296296296296296,0.111111111111111,0.111111111111111,0.148148148148148,0.307692307692308,0.0769230769230769,0.115384615384615,0.0769230769230769,0.153846153846154,0.153846153846154
" LEMERCIER",2.3175909298999,48.890020496141,0,2,0.478260869565217,0.478260869565217,0.478260869565217,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.434782608695652,0.260869565217391,0.0434782608695652,0.130434782608696,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.0869565217391304,0.0434782608695652,0,0.0434782608695652,0.0434782608695652,0.130434782608696,0.782608695652174,0.91304347826087,1,0.91304347826087
" LEMERCIER",2.3175909298999,48.890020496141,0,3,1,1,1,1,1,1,1,1,1,0,0.0434782608695652,0,0,0.0869565217391304,0,0.0434782608695652,0.0869565217391304,0.0869565217391304,0,0.652173913043478,1,0.956521739130435,1,0.956521739130435
" LEMERCIER",2.3175909298999,48.890020496141,0,4,1,1,0.826086956521739,0.826086956521739,0.826086956521739,0.826086956521739,0.826086956521739,0.826086956521739,0.695652173913043,0,0.0434782608695652,0,0.0434782608695652,0,0,0.0434782608695652,0.0869565217391304,0.0869565217391304,0.217391304347826,0.608695652173913,0.869565217391304,0.782608695652174,0.869565217391304,0.956521739130435
" LEMERCIER",2.3175909298999,48.890020496141,0,5,1,0.91304347826087,0.956521739130435,0.956521739130435,1,1,1,1,0.782608695652174,0,0,0,0.0434782608695652,0,0,0.0869565217391304,0.130434782608696,0.173913043478261,0.347826086956522,0.478260869565217,1,1,1,0.869565217391304
" LEMERCIER",2.3175909298999,48.890020496141,0,6,1,1,0.826086956521739,0.826086956521739,0.826086956521739,0.826086956521739,0.826086956521739,0.739130434782609,0.391304347826087,0,0,0,0.0434782608695652,0.0869565217391304,0.0869565217391304,0,0.173913043478261,0.130434782608696,0.347826086956522,0.782608695652174,0.956521739130435,1,0.869565217391304,0.956521739130435
" LEMERCIER",2.3175909298999,48.890020496141,0,7,1,1,1,1,1,1,1,1,0.956521739130435,0.826086956521739,0.826086956521739,0.652173913043478,0.565217391304348,0.304347826086957,0.130434782608696,0.0434782608695652,0,0.217391304347826,0,0.260869565217391,0.260869565217391,0.347826086956522,0.521739130434783,0.608695652173913
" LEMERCIER",2.3175909298999,48.890020496141,0,8,0.391304347826087,0.391304347826087,0.565217391304348,0.695652173913043,0.695652173913043,0.695652173913043,0.695652173913043,0.695652173913043,0.782608695652174,0.739130434782609,0.739130434782609,0.565217391304348,0.260869565217391,0.173913043478261,0.0434782608695652,0,0.217391304347826,0.130434782608696,0.0454545454545455,0.173913043478261,0.173913043478261,0.173913043478261,0.260869565217391,0.391304347826087
" MEZIERES RENNES",2.33044682027725,48.8502970102176,0,2,0.218181818181818,0.145454545454545,0.127272727272727,0.109090909090909,0.109090909090909,0.109090909090909,0.0909090909090909,0.0909090909090909,0.0545454545454545,0.109090909090909,0.254545454545455,0.363636363636364,0.381818181818182,0.170212765957447,0.369565217391304,0.478260869565217,0.456521739130435,0.5,0.521739130434783,0.478260869565217,0.41304347826087,0.347826086956522,0.391304347826087,0.282608695652174
